relpath	datechange	family	optype	familyoptype	label	example	topic	nodex	nodey	text
CHOP/scriptCHOP/example2	170101	CHOP	scriptCHOP	CHOP/scriptCHOP	Script	2	values	300	50	This example creates sine waves based on the 'absTime.seconds*50' value entered on the Custom Parameter named Count. The sine waves are all offset by the 2nd Custom Parameter named Offset.
CHOP/scriptCHOP/example3	170101	CHOP	scriptCHOP	CHOP/scriptCHOP	Script	3	script1	550	50	This example scales all the channels by the value input in the Custom Parameter named 'Scale' on the 'Custom1' page of the Script CHOP.It also deletes channel 'chan3', and creates a new channel named 'zzz'.The graph range is -20 to +20 set via the graph right-click menu via Vertical Range...
CHOP/scriptCHOP/example4	170101	CHOP	scriptCHOP	CHOP/scriptCHOP	Script	4	new channels	800	50	This example creates two new channels, with a variable number of samples that can be controlled using the 'Samples' custom parameter made on the  'Custom1' page of the Script CHOP.
CHOP/scriptCHOP/example5	170101	CHOP	scriptCHOP	CHOP/scriptCHOP	Script	5	output samples above threshold	1050	50	Script CHOP threshold example where any samples that do not exceed value of a threshold (0.5) will be deleted. Creates long channel, interates through samples of the input, and shortens the result.via barakooda
CHOP/scriptCHOP/example6	170101	CHOP	scriptCHOP	CHOP/scriptCHOP	Script	6	counter	1300	50	This example creates a very simple counter using custom parameters to control incrementing the value as well as resetting it.The value in this example is held within the Operator's storage. The Examine DAT can look into an operator's storage and get att it data.
CHOP/scriptCHOP/example7	210416	CHOP	scriptCHOP	CHOP/scriptCHOP	Script	7	Numpy array single channels	1530	45	This initializes itself up as a 1000-sample CHOP, the same length as pattern1. It then creates a numpy array that is 1000 samples long, with values going from 0 to 1. It then creates a new channel with the 1000-sample ramp as its samples.Next it creates a new numpy array from the first channel of pattern1.Then it creates a new channel and tries to name the channel c1. Because c1 already exists it finds the next available channel name, c2 and names the new channel c2.  It then copie sthe numpy array to that new channel.
CHOP/scriptCHOP/example8	210416	CHOP	scriptCHOP	CHOP/scriptCHOP	Script	8	Numpy array multi-channels	1760	45	THis copies multiple channels into a 2D numpy array. Then it copies that array into script1's output.You don't need to specify its number of samples nor number of channels.
CHOP/scurveCHOP/example1	211201	CHOP	scurveCHOP	CHOP/scurveCHOP	S Curve	1	scurve variety	50	55	a variety of simple curves using S Curve CHOP.Drag-drop any S Curve CHOP to the select1 CHOP and operate the slider to see how the slider can be made non-linear.scurve_lookup shows how you can eliminate the lookup CHOP by doing the lookup itself.See also Animation COMP to generate more complex keyframed curves.See the Function CHOP for a variety of non-linear transformations.Or the Trigger CHOP to get attack-decay-sustain-release.. 
CHOP/scurveCHOP/example2	180619	CHOP	scurveCHOP	CHOP/scurveCHOP	S Curve	2	soft limit	280	55	If you have values coming in for a channel that are say between 2 and 5 (math1), and you want to limit them to be between 3 and 4, without hard-clamping them (as you would with a Limit CHOP). you would use an S Curve with a Lookup CHOP to soft-limit them to between 3 and 4.Lookup's Input Range is set to 5. S Curve range is set to 3 to 4.  With this, the values at 3.5 don't change.
CHOP/scurveCHOP/example3	180619	CHOP	scurveCHOP	CHOP/scurveCHOP	S Curve	3	soft limit	510	55	S Curve with the Timer CHOP.
CHOP/selectCHOP/example1	170101	CHOP	selectCHOP	CHOP/selectCHOP	Select	1	rename channels	50	50	Select CHOPs are often used for simply renaming channels.
CHOP/selectCHOP/example2	170101	CHOP	selectCHOP	CHOP/selectCHOP	Select	2	pattern matching	300	50	You can select channels using pattern chan* where * matches any text after "chan".Search "Pattern Matching" in the wiki for the numerous ways of matching channel names with patterns.
CHOP/selectCHOP/example3	170101	CHOP	selectCHOP	CHOP/selectCHOP	Select	3	channels	550	50	This picks out 2 specific channels and changing "chan" to "d" in their names.
CHOP/selectCHOP/example4	170101	CHOP	selectCHOP	CHOP/selectCHOP	Select	4	fetch by path	800	55	These examples fetch 1 or moreCHOPs using the CHOP path parameter.
CHOP/selectCHOP/example5	180221	CHOP	selectCHOP	CHOP/selectCHOP	Select	5	multiple channels	1060	50	You can pick out multiple specific channels by entering them one after another, separated by a space.Note the order is determined by the order you specify in Channel Names.
CHOP/selectCHOP/example6	210901	CHOP	selectCHOP	CHOP/selectCHOP	Select	6	multiple source ops	1290	50	You can use pattern matching to merge channels from multiple CHOPs.select1 gets the first channel of the first output of base*seelct2 gets the second channel using a more general expression. It renames the channels also.
CHOP/selectCHOP/example7	170101	CHOP	selectCHOP	CHOP/selectCHOP	Select	7	swap	1550	50	This example fetches CHOPs constant1 and constant2 as they match the constant* path parameter.From these 2 CHOPs, the channels selected are in the range chan1 to chan8. The last Select CHOP swaps what is before the ':' for what is after it.
CHOP/selectCHOP/example8	170101	CHOP	selectCHOP	CHOP/selectCHOP	Select	8	expand numbers	1800	50	expands a number range inside the []
CHOP/selectCHOP/example9	170101	CHOP	selectCHOP	CHOP/selectCHOP	Select	9	expand alphabetic	2050	50	expands every alphabetic character inside the []
CHOP/selectCHOP/example10	210901	CHOP	selectCHOP	CHOP/selectCHOP	Select	10	missing sources	2290	50	This is a more robust way to make sure you get some channels.If your source does not exist, the op() expression return None, in which case it uses op('default").This is a nice behavior of the "or" operator in python.
CHOP/selectCHOP/example11	170101	CHOP	selectCHOP	CHOP/selectCHOP	Select	11	rename chop	2520	50	And see the Rename CHOP. It is a subset of the Select CHOP.
CHOP/shiftCHOP/example1	230314	CHOP	shiftCHOP	CHOP/shiftCHOP	Shift	1	time-shift a CHOP	63	46	The Shift CHOP time-shifts a CHOP, changing the start and end of the CHOP's interval. However, the contents of the channels remain the same. 
CHOP/shiftCHOP/example2	230314	CHOP	shiftCHOP	CHOP/shiftCHOP	Shift	2	scroll through a channel	266	44	In this example the channel is shifted by an offset of 250 samples.This means the start/end of the CHOP's interval are still the same (0 to 999) but we sample a different part of the channel. The pattern CHOP's Extend Left and Extend Right parameters are set to cycle, so now that we sample outside the interval, we see a cycle of the sinus wave.(also see snippets for Extend CHOP for an explanation how CHOP extend conditions work) 
CHOP/shiftCHOP/example3	230314	CHOP	shiftCHOP	CHOP/shiftCHOP	Shift	3	scroll each channel independently	474	46	In the Shift CHOP, the Python expression me.chanIndex is the index of the channel being generated. This expression can be used to give each channel a unique offset.
CHOP/shiftCHOP/example4	230314	CHOP	shiftCHOP	CHOP/shiftCHOP	Shift	4	align to other CHOP	696	43	The optional second input of tHe Shift chop, the Start/End Reference, is used to align the first input CHOP relative to another reference CHOP. This outputs the channels of the first CHOP only, and the shifts are based on the interval of the second CHOP. It is useful for making several CHOPs match up to the same time. 
CHOP/shuffleCHOP/example1	170101	CHOP	shuffleCHOP	CHOP/shuffleCHOP	Shuffle	1	split or sequence	50	50	Here are a few ways to manipulate channels and samples.See the Fan CHOP too.
CHOP/shuffleCHOP/example2	170101	CHOP	shuffleCHOP	CHOP/shuffleCHOP	Shuffle	2	split and filter	280	40	This example takes each sample of a Noise CHOP and creates a channel with that value.
CHOP/shuffleCHOP/example3	170101	CHOP	shuffleCHOP	CHOP/shuffleCHOP	Shuffle	3	channel names	540	50	This example takes  all the scattered RGBA values from the TOP to CHOP and sequences them by name, so that you have a seperate R,G,B, and A, channel, for further processing.The Movie File In TOP is down-resolutioned first.
CHOP/shuffleCHOP/example4	170101	CHOP	shuffleCHOP	CHOP/shuffleCHOP	Shuffle	4	split 1	790	50	This example takes every 10th sample from the original to form a new  channel. 
CHOP/shuffleCHOP/example5	170101	CHOP	shuffleCHOP	CHOP/shuffleCHOP	Shuffle	5	split 2	1040	50	This example forms a new channel based every 9 samples of the  input value. You can follow the sine waves values, starting on chan0, going left to right, then continuing to chan1, going left to right, all  the way to chan9.
CHOP/slopeCHOP/example1	170101	CHOP	slopeCHOP	CHOP/slopeCHOP	Slope	1	slope	50	50	These examples calculate the slope of the Speed CHOPs, whose slope we have set using a Constant CHOP.They show that the rate you feed into the Speed CHOP can be extracted back using a Slope CHOP.In math-talk, the derivative of the integral of a function is the function.
CHOP/slopeCHOP/example2	170101	CHOP	slopeCHOP	CHOP/slopeCHOP	Slope	2	acceleration	300	50	Here we're calculating the acceleration rate of the incoming values.wiggle the slider around.It's not exact as there are round-off errors.
CHOP/slopeCHOP/example3	170101	CHOP	slopeCHOP	CHOP/slopeCHOP	Slope	3	rate of change	550	50	Here we're calculating the acceleration rate of the incoming values.
CHOP/slopeCHOP/example4	170101	CHOP	slopeCHOP	CHOP/slopeCHOP	Slope	4	slope as change	800	50	The Slope CHOP can be used to detect if a CHOP's value has changed. It is 0 when nothing has changed (from the  previous sample). Move the slider value around.The Logic CHOP is set to output 1 when its input is non-zero, so all the slider's changes are detected.In this case the LFO is  sampled whenever the slider moves.You can also do this with scripting using the CHOP Execute DAT.To Hold CHOP sampling is less jerky when the Filter CHOP is un-bypassed.
CHOP/soptoCHOP/example1	170101	CHOP	soptoCHOP	CHOP/soptoCHOP	SOP to	1	SOP to	50	50	In this example we're using the SOP to CHOP to access the point position of box1, then we're multiplying each point by noise, and using a CHOP to SOP to apply the new point positions.
CHOP/soptoCHOP/example2	170101	CHOP	soptoCHOP	CHOP/soptoCHOP	SOP to	2	particle position	300	50	In this example we're  able to access the position of every particle in the  particle system.
CHOP/soptoCHOP/example3	170101	CHOP	soptoCHOP	CHOP/soptoCHOP	SOP to	3	point normals	550	50	Here we've changed the direction of the normals of the circle that is being used as the particle source. This allows us to emit particles in different directions.
CHOP/sortCHOP/example1	200301	CHOP	sortCHOP	CHOP/sortCHOP	Sort	1	sample sorting types	50	50	sort1 sorts the samples by lowest-to-highest value. Each channel is treated separately. So each channel has ascending values regardless of the other channels.sort2 uses the first channel (using Channel Indices parameter) to sort the samples of the three channels together: for example, chan1[31], chan2[31] and chan3[31] travel together.sort3 does the same with chan2, but sorting in decending order.sort4 does ascending, but chooses the channel by name "chan3".sort5 randomizes all the samples, but keeps the channels together. Then sort6 re-sorts by the first channel's ascending value, making it the same as the output of sort2.
CHOP/speedCHOP/example1	170101	CHOP	speedCHOP	CHOP/speedCHOP	Speed	1	seconds	50	50	An example of how to count seconds using a Speed CHOP.The Pulse will restart the counter onthe same frame as the pulse happens, whereas with the Restart, it's 0 for at least one frame.
CHOP/speedCHOP/example2	170101	CHOP	speedCHOP	CHOP/speedCHOP	Speed	2	index	300	50	Speed CHOP is useful for driving Movie In TOP indices.
CHOP/speedCHOP/example3	170101	CHOP	speedCHOP	CHOP/speedCHOP	Speed	3	zig zag	550	50	Value zig zags between minimum and maximum values.
CHOP/speedCHOP/example4	170101	CHOP	speedCHOP	CHOP/speedCHOP	Speed	4	loop	800	50	Values loop from maximum back to minumum.
CHOP/speedCHOP/example5	170101	CHOP	speedCHOP	CHOP/speedCHOP	Speed	5	speed to distance	1050	50	If pattern1 is the speed going into the Speed CHOP, then the output of speed1 is the time-history of the distance travelled.
CHOP/speedCHOP/example6	170101	CHOP	speedCHOP	CHOP/speedCHOP	Speed	6	acceleration	1300	50	If you input an  acceleration value, your output will be  position, if you set the order type to  Second.
CHOP/speedCHOP/example7	170101	CHOP	speedCHOP	CHOP/speedCHOP	Speed	7	speed bump	1550	50	Every button press bumps up the current value by a certain amount (1.2 as seen in the Panel Execute DAT), and it starts counting down from that value to 0 (the lower limit specified in the Minimum parameter of the speedBump).  It prevents the upper value from exceeding a certain number (the Maximum parameter in speedBump).The decay rate is specified in the constantSpeed CHOP (-0.5 means it goes down by .5 every second).The Speed CHOP is reset with resetpulse.pulse() every time the button is pressed.
CHOP/speedCHOP/example8	170101	CHOP	speedCHOP	CHOP/speedCHOP	Speed	8	push updown	1800	50	Pressing forces a rise at a given rate (Constant CHOP), and releasing forces a drop at another rate.
CHOP/spliceCHOP/example1	170101	CHOP	spliceCHOP	CHOP/spliceCHOP	Splice	1	splice insert	50	50	This Splice CHOP inserts one CHOP into the other, preserving the original CHOP's samples.
CHOP/spliceCHOP/example2	170101	CHOP	spliceCHOP	CHOP/spliceCHOP	Splice	2	splice replace	300	50	This Splice CHOP does a simple replace of one CHOP into the other.
CHOP/spliceCHOP/example3	170101	CHOP	spliceCHOP	CHOP/spliceCHOP	Splice	3	extract alter replace	550	50	This extracts a part of a CHOP, alters it, then replaces the original samples.The two Splice CHOPs have their "start" and "trimlength" parameters tied together with expressions.
CHOP/spliceCHOP/example4	170101	CHOP	spliceCHOP	CHOP/spliceCHOP	Splice	4	pulse one sample	800	50	If your Splice CHOP is used to instance geometry, adn each sample represents an instance's x y z and size, you would use this trick to grow the size whenever a different instance was chosen. Change the value of the Constant CHOP and look at spliceInstance.Here we use a Constant CHOP to represent the "current" sample (0 to 1 is mapped to 0 to 599), but you could use a Render Pick DAT to take a picked instance number and feed that down the chain.THe Slope CHOP detects any change in its input, and the Math CHOP makes sure it's always positive. That's good to feed to teh Trigger CHOP. You can also use a CHOP Execute DAT to detect a change and trigger the Trigger CHOP's Reset Pulse parameter.
CHOP/springCHOP/example1	230207	CHOP	springCHOP	CHOP/springCHOP	Spring	1	spring input as position	70	40	The Spring CHOP creates vibrations influenced by the input channels, as if a mass was attached to a spring.Input channels can either represent position or force. In this example the input represents position (the Spring CHOP's "input effect" parameter is set to "position").Now the Sping CHOP acts as if, for every channel, there is a mass at the end of a spring, affected by a distance from the actual position (the output of the channel at the previous frame) to the desired position (the input channel at the current frame). When the distance (output - input) is zero, there is no force and therefore no movement. 
CHOP/springCHOP/example2	230207	CHOP	springCHOP	CHOP/springCHOP	Spring	2	spring input as force	280	40	The Spring CHOP creates vibrations influenced by the input channels, as if a mass was attached to a spring.Input channels can either represent position or force. In this example the input represents force (the Spring CHOP's "input effect" parameter is set to "force").Now the input is used as a force on the spring/mass, and the CHOP reacts to this force plus the force of the spring/mass. In this case, the mass would always stabilize at value 0 if the input is a force of 0.
CHOP/springCHOP/example3	230207	CHOP	springCHOP	CHOP/springCHOP	Spring	3	multiple springs	500	35	There are two ways to do multiple springs in one CHOP. 
CHOP/stretchCHOP/example1	170101	CHOP	stretchCHOP	CHOP/stretchCHOP	Stretch	1	reverse samples	50	50	reverses the order of samples and keeps the same length of CHOP (10 seconds).
CHOP/stretchCHOP/example2	170101	CHOP	stretchCHOP	CHOP/stretchCHOP	Stretch	2	half length	300	50	half th number of samples (300), half the  length (5 seconds).
CHOP/stretchCHOP/example3	170101	CHOP	stretchCHOP	CHOP/stretchCHOP	Stretch	3	times 10 and shift	550	50	ten times longer, but also makes the CHOP start at 1 second (frame 31).See the popup help to see the range.The second example has each sample repeated 10 times as you see when you zoom in on the graph.
CHOP/switchCHOP/example1	170101	CHOP	switchCHOP	CHOP/switchCHOP	Switch	1	switch	50	50	Use the radio to switch between the different inputs.
CHOP/switchCHOP/example2	170101	CHOP	switchCHOP	CHOP/switchCHOP	Switch	2	switch input	300	50	This example is the same as the above example except that the index selection is passed as the first input.
CHOP/timecodeCHOP/example1	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	1	timecode sources	55	55	A Timecode CHOP holds a timecode that other operators and python expressions have access to.Timecodes can be set in differnet ways. timecode_sequential is like the Timer CHOP. Press Start.timecode_locked_to_timeline co-relates to the timeline frame number.timecode_specify_index gets it from the Index par.timecode_by_parameters specifies with separate parameters.timecode_timecode_object1 shows that the python tdu.Timecode() creates a timecode object, and you can set its time via the arguments. See wiki for tdu.Timecode, or the "timecode python" snippet.timecode_timecode_object2 shows that many operators have a built-in timecode object, so you can fetch by referring to the operator's timecode object.timecode_timecode_op_reference gets the timecode by just giving the operator's name, assuming that operator type has a built-in .timecode object. See the wiki page for Timecode for a list of the operators containing timecode objects.timecode_chop1 and timecode_chop2 lets you use specially-named input channels to set the timecode. 
CHOP/timecodeCHOP/example2	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	2	step forward sequentially	315	55	In this example we have a Timecode CHOP stepping forward sequentially with a custom length of 10 seconds. Current timecode value and countdown timecode value can be fetched through the Info DAT.If the Timecode CHOP's Length parameter is set, the countdown will count down from that value.
CHOP/timecodeCHOP/example3	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	3	frames per seond (fps) and drop frames	575	55	The Rate parameter sets the frames per second since any time code assumes some number of frames per second.The default CHOP uses the timeline's fps, but timecode2 overrides it to 25 so it doesn't need to match any timeline.example3 demonstrates how drop-frames are added to the timecode output. We have a drop-frame rate specified (ie. non-integer, 59.94, 29.97), which is a standard drop-frame rate requiring an additional 2 frames added every minute not divisible by 10. Drop Frame mode is set to Automatic so the 18 extra frames are added automatically for an output timecode of 10:00.18 from the input of 10:00:00.
CHOP/timecodeCHOP/example4	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	4	setting timecode with parameters	835	55	This example demonstrates how to set the timecode with frame/second/minute/hour parameters. The output timecode will be the weighted sum of all the parameters.timecode2 shows that individual components can be higher than their respective maximums (eg. second parameter can be >60).
CHOP/timecodeCHOP/example5	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	5	time channels fed to input	1095	55	This example demonstrates the Timecode CHOP's input CHOP. The input CHOP can have any subset of the following channels: hour, minute, second, frame, negative. The Timecode CHOP's output is calculated relative to the input CHOP, ie. the input CHOP's timecode is added to the output. In other words, our sequential timecode in timecode1 starts at 00:10:00:00 (ie. 10  minutes) instead of the default 00:00:00:00.
CHOP/timecodeCHOP/example6	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	6	smpte-constrained or free	1355	55	This example demonstrates differences between SMPTE mode on/off. timecode1 has SMPTE mode disabled so the negative timecode is allowed. timecode2 has SMPTE mode enabled, so it does not allow for a negative timecode, and instead the timecode loops around to the maximum value of 23:59:59:59. With SMPTE off, times can go over 24 hours.It's also worth noting the countdown values. Countdown is 00:00:00:01 in both cases because countdown is compared against the looping value: 100:00:00:00 and 24:00:00:00 aka 00:00:00:00. timecode1 goes below zero so it's compared against the looped value 00:00:00:00.timecode3 shows you can have non-standard frame rates, like 240 fps and up.
CHOP/timecodeCHOP/example7	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	7	Timer CHOP drives timecode	1615	55	This example demonstrates how the Timer CHOP can drive the Timecoce CHOP or the Movie File In TOP using the Timer CHOP's built-in timecode object.Notice that ANY OP that has a .timecode member can give you a set of timecode channels in an Info CHOP, timecode in an Evaluate DAT, or 
CHOP/timecodeCHOP/example8	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	8	timecode drives Timer CHOP	1875	55	This example shows how the Timecode CHOP can drive the Timer CHOP.
CHOP/timecodeCHOP/example9	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	9	timecode python	2135	55	Here are python expressions to get values, shown in timecodePython's parameters.The DAT shows how python can set the state of any timecode object.
CHOP/timecodeCHOP/example10	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	10	timecode math	2395	55	timecode objects can be added or subtracted to get sums or differences.This is good for syncing up devices that are offset in time but keep in sync.It manages times that have different frames per second and drop frame settings.
CHOP/timecodeCHOP/example11	230814	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	11	timecode length and cycle	2640	55	The Timecode CHOP can behave as if it has a fixed length.When you set a Custom Length parameter, it can behave such that it does not go past a specified length, or it cycles when it reaches that length.  Start timecode1, see it cycle, then try it with Cycle off.Here is is run internally (Sequential) i the top example, and at the bottom, run externaly with a CHOP channel expressed in seconds.
CHOP/timecodeCHOP/example12	231215	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	12	midi timecode	2870	45	This Snippet demonstrates two methods of converting the stream of MTC quarter frame messages to a readable timecode format. To start streaming, a MIDI device that streams quarter frame messages must be setup in the MIDI Device Mapper Dialog.
CHOP/timecodeCHOP/example13	231215	CHOP	timecodeCHOP	CHOP/timecodeCHOP	Timecode	13	movie audio and interops	3110	35	A few ways of doing things.timer1 drives moviefilein1 via timecode in timer1.time2 drives audiofilein1 via a master_seconds channel, but audiofilein1 gives its timecode info to an Info CHOP, an expression in eval2, and timecode2, which provides info2a with its timecode data, including countdown.Linear timecode, which travels via an audio out / in path, is driven by the Timer CHOP, the eval3 gets it from the LTC In CHOP directly.In ltcout2 we are trying to send the length in the user data, which has limitations.
CHOP/timerCHOP/example1	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	1	why timer	100	75	The Timer CHOP was created because this was too hard:Ring a bell after 5 seconds.... too many OPs, too many parameters, click Reset on the Speed CHOP... too much thinking to get right.
CHOP/timerCHOP/example2	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	2	basic timer	360	75	This is the basic timer with Length that you can set to any number of seconds.Click Initialize to get ready, then Start to  begin counting.Or just press Start at any time to initialize and begin counting right away.You can set Length to seconds, frames or samples using the menu on the right of Length. 
CHOP/timerCHOP/example3	180321	CHOP	timerCHOP	CHOP/timerCHOP	Timer	3	output channels	620	75	This is the same timer but you can get out more channels via the Outputs page:Seconds (in the Timer Count menu) Ready (means the timer has been initialized) Running (It's been started) Done Pulse (another form of Done)On the Timer page, you can click Go to Done at any time.Start and watch trail2 a few times to see how the channels relate to each other.constant_timerFrame shows you can also get some values from the Timer CHOP python members.
CHOP/timerCHOP/example4	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	4	delay, cycle, done	880	75	Delay will cause some seconds of delay after the Start and before the timer starts counting up.Timer can also cycle: Click Start and watch a few times. It will cycle 4 times.You can interrupt and make it cycle fewer times:  Click parameter Exit at End of Cycle, or Go to Done to exit cycling immediately.Cycle controls: Cycle on/off, Cycle Limit (infinite when off), Maximum Cycles (when Cycle Limit is on).The cycles_pulse channel triggers the depth-finder sound.The done_pulse channel triggers the "done" text in Text TOP.( Expert NOTE: To make sure the cycle_pulse and done_pulse channels are always exported correctly, the  Export Method on the Common page is set to DAT Table by Name. This is true of the Timer CHOP and other CHOPs with selectable channels and specific names, like Beat and Perform. )The parameters Speed and Play vary the timer speed.
CHOP/timerCHOP/example5	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	5	segments - serial	1140	75	Segments can be like back-to-back timers in one Timer CHOP. We call back-to-back timers "Serial Timers".Make a table with columns named like the parameter internal names: length, delay, cycle, ..., and put in some values for length or delay, etc.The units of length, delay etc is determnied by the Segment Units menu, the default is seconds.A segment is one timer per row, the first segment is numbered 0, starting at row 1 of the table.They replace the parameters temporarily.Click Start and watch a few times.If you go to the Segments page, you can press Previous Segment or Next Segment etc to jump ahead or back in time. 
CHOP/timerCHOP/example6	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	6	segments begin	100	-155	Alternately you can specify the begin time of each timer, as you would with a bunch of video clips on a timeline.Replace the Timer CHOP's Segments DAT parameter with table_begin4.Note that you have to be careful if overlapping the segments. If they do overlap, the later segments take precedence.The segments do not have to be in order - they are pre-sorted, as in table_begin_anyorder4.
CHOP/timerCHOP/example7	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	7	segment interpolate	360	-155	With Serial Timers, you can generate a curve that interpolates from the current value to the new values over the segment time Length.The column "v1" is not mapped to a parameter. It is output from the Timer CHOP as a channel. To do this, on the Segments page, in the parameter Columns to Custom Channels, you put the names of the columns to output as channels, in this case "v1". By default v1 will step to its new value at the start of a segment.To make it interpolate, select from the  Custom Channel Interpolation menu, for example, Linear to Value.With a 0-length first segment, its v1 determines the "initial value" of v1. 
CHOP/timerCHOP/example8	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	8	interpolate external	620	-155	Advanvced technique:If each channel needs to interpolate differently, say one is linear, one is ease in/out, you  need to interpolate outside the Timer CHOP. A method is shown here.You put the names of the columns to output as channels, in this case "v1" and also "length".v1 and length are passed to a Filter CHOP to do the interpolation, length is used as the  Filter Width.Click Initialize and Start and watch the length and V1 channels step according to the rows in the table.The Filter Width parameter is the "length" that it retrieves from the table.When you change the Filter CHOP's Type menu to Gaussian, the filters act as an ease-in ease-out.The filters are reset when you Initialize or Start: The "ready" channel is exported to their Reset Pulse parameters.
CHOP/timerCHOP/example9	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	9	segments parallel	880	-155	The same tables can be used to run the timers in parallel. On the Segments page, set the Segment Method to Parallel Timers, then press Initialize, then Start.Note there is one channel per segment for each channel type selected on the Output page.Try this Timer CHOP with tableBeginAnyorder. 
CHOP/timerCHOP/example10	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	10	text per segment	1140	-155	You can feed text into an Info DAT for each segment of the timer. You can create a column of any name in the segments table, "message" in this case, and add text in each row. Then you put that column name in the parameter Columns to Info DAT on the Segments page.That will cause a row in the Info DAT, "message" to contain the text of the segment as it plays.Click Start and watch the Info DAT. 
CHOP/timerCHOP/example11	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	11	callbacks	100	-385	"Callbacks" are located in the docked node, timer8_callbacks.Callbacks are functions that are called when timer events occur. They can be used to set parameters and trigger events, run scripts and many other things.In this example it prints the current time, "running seconds" when it initializes, when it is ready, starts, on segment and, cycles and on done.Open up the textport (Dialogs -> Textport), press Start and watch the output of the callbacks.Look at the DAT that's docked to the Timer CHOP.whileTimerActive() is especially noteworthy as it is called every frame that a segment's timer is counting, and not at any other time.
CHOP/timerCHOP/example12	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	12	long initializations	360	-385	When you Initialize, you can initiate actions and check conditions to assure the initialization is ready, and if not ready, have onInitialize() called again some number of frames later.On timer1, open the textport first and then press Initialize. THe timer CHOP will call onInitialize() 5 times separate by 20 frames of time before reaching the ready state.To test timer2, first make sure the Busy button is on. When you press Initialize or Start, the onInitialiize() callback checks if the Busy button is on, and if on, onInititalize() returns 50, which will cause onInitialize() to be called again in 50 frames, with the callCount set to 2. When onInitialize() returns 0, it proceeds to the ready state, and then starts the timer if the user had pressed Start.If Busy is on and then you press Start, it will wait until Busy is off and then start counting right away.This is useful for preparing movies, loading files, waiting for servers to respond or other things that will keep the timer from being ready.
CHOP/timerCHOP/example13	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	13	cycle end alert	620	-385	Before a segment ends, you can have the Timer CHOP call onCycleEndAlert().In timer10, the Cycle End Alert time is set to 2 seconds, so onCycleEndAlert() gets called 2 seconds before timer10 finishes.onCycleEndAlert() plays an audio cue, and  initiates timer10_next to start.However the onInitialize() in timer10_next return 10 until timer10's "running" channel goes to 0 and the depthfinder audio sample finishes playing. So every 10 frames, onInitialize() is called and stays in its "initializing" state until the audio finishes and timer10 is done.
CHOP/timerCHOP/example14	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	14	channel history	880	-385	This is set up to capture a clean start-to-end set of channels in the Trail CHOP.When the timer initializes, the onInitialize() callback resets and starts the Trail CHOP, then when onDone() is called, it turns the Active parameter Off on the Trail CHOP after another 10 frames.On some segments, the cycleendalert column of table14 causes the onCycleEndAlert() callback to be called some number of seconds before the  segment is over, supposedly to prepare for  the next segment.initialize14 and start14 show you can drive the initialization and starting with the two inputs. 
CHOP/timerCHOP/example15	170101	CHOP	timerCHOP	CHOP/timerCHOP	Timer	15	time scrubber go to	1140	-385	The goto_scrubber slider will cause the Timer CHOP to jump to a specific time or frame in the sequence.  The slider 0-1 range is re-ranged in the Math CHOP to be 0 to 25.goTo(frame = 601): goes to frame 601, where frame 1 is the first frame. goTo(segment = 3, cycle = 2, seconds = 1):  Jumps to segment 3, cycle 2, and will set time to 1 second.goTo(seconds = 35):  If cycle is off, and segment 1 = 10, segment 2 = 15,  segment 3 = 20, this will jump to segment 3, with time set  to 10 seconds.goTo(seconds = 35):  If cycle is on for segment 2 (max cycles = 10), and  segment 1 = 10, segment 2 = 15, this will jump to segment 2,  cycle = 1 (as in: one cycle has completed),  and with time set to 10 seconds.You can set the global timecode directly with the script  in set_timecode14. You can also get the global timecode with the expression in text_timecode14. 
